Feature,Entropy,MI,AbsCorrelation,CompositeScore
GHI,2.552335574634617,1.0195703968959586,0.9146192778569002,0.8401277709208149
sunlight_ratio_safe,3.1175844450977404,0.91986076649333,0.4025468376948577,0.7422139941369451
SunlightTime/daylength,3.122683785751172,0.8862244787200453,0.40252333886572256,0.729492350615754
sunlightTime,3.0067673479260777,0.7765695928767355,0.43729570784836924,0.6831703951187622
ghi_temp_interaction,1.7729764870058426,0.840928760017067,0.7913357224696075,0.6697609296108883
hour,4.251629135193497,0.6020792154116501,0.08087687248311677,0.653894345892508
hour_cos,3.6053825836260547,0.44938748473089696,0.5688266342701604,0.6398901890708529
humidity,3.7188174772511133,0.18162964774021972,0.5444066129159062,0.5401750749696292
clear_sky_proxy,1.523026455016186,0.5213294729796649,0.7349721193891618,0.508534329772579
dayLength,4.162990166191949,0.07115251528713884,0.2806946940359689,0.48095498044910634
heating_degree_gap,3.7714082261726545,0.11553072668103503,0.3581455618788585,0.478461083115544
comfort_gap,3.7903550520770395,0.10373675013763517,0.34386906852620425,0.47249474888332055
temp,3.6238332551362467,0.12241823681605357,0.3785539417475625,0.4717418235929722
hour_sin,3.522050973806404,0.1728027636538938,0.24162513543792333,0.45199069646633255
heating_load_proxy,3.6703616452180428,0.11988868624663951,0.26403656863959324,0.45008535029367625
thermal_load_wh,3.6817451777243484,0.10153071609751052,0.24154075379096474,0.43903492883710593
thermal_inertia_proxy,3.6822280449367466,0.09531292810068237,0.23820624044511665,0.43591182333132794
night_indicator,0.9988499448567043,0.5710432467693574,0.5269519259214717,0.4332349642958393
isSun,0.9988499448567043,0.5704915399020649,0.5269519259214719,0.43301851749886244
humidity_temp_interaction,3.488020405936575,0.11634752781794866,0.21022661341957571,0.4197744883107933
clouds_all,3.438401352651352,0.04001597003746671,0.19024085300512894,0.3807894014996419
month_cos,3.0831249800840634,0.06800413650162085,0.2796160750629486,0.37788851374948335
month,3.5792260693007267,0.07511103906655858,0.04930743711586763,0.3769890437565798
pressure,3.4718561453349284,0.02108321965292337,0.11521943738970879,0.36010419541581856
wind_pressure_interaction,3.34430214016591,0.058843306225128345,0.0327750825391903,0.3448897038404529
wind_speed,3.3275932896454177,0.0150840933550489,0.029384660477361105,0.3254086180844301
month_sin,3.0683861109728907,0.006801274273699143,0.0001925574076469794,0.29138901974312986
weather_type,2.205415618863005,0.02737610948314373,0.17004626981423657,0.2554133010781434
occupancy_proxy,0.9183161603954195,0.09667018391372295,0.3277125378272776,0.19598346090802127
minute_cos,2.0,0.004185882159688958,0.0007523206746591991,0.18996989046228208
minute,2.0,0.0,0.0012752657846862518,0.18844202890427253
minute_sin,1.5,4.858617483716188e-05,0.001180727509546398,0.1413996260656311
cooling_load_proxy,0.34682586964123924,0.03630245173829305,0.2095459345198047,0.09269363684852898
cooling_degree_gap,0.3474431894969223,0.034016466006864476,0.20953678127250727,0.09185287101161599
rain_1h,0.3842410991207203,0.01732502441948558,0.05988122748850422,0.056041242136389016
snow_1h,0.14800381929840317,0.012435255468998818,0.0509135977304,0.029936346849477817
