Configuration,Num_Features,R2,MSE,RMSE,MAE
Baseline,31,0.903072714805603,104186.1640625,322.7788160064102,134.51748657226562
Energy+Thermal,36,0.9016538858413696,105711.25,325.13266523067165,135.96556091308594
Baseline+EntropyTop20,20,0.9009984731674194,106415.703125,326.2141982271771,134.8369598388672
