GHI,temp,pressure,humidity,wind_speed,rain_1h,snow_1h,clouds_all,isSun,sunlightTime,dayLength,SunlightTime/daylength,weather_type,hour,month,minute,sunlight_ratio_safe,night_indicator,ghi_temp_interaction,clear_sky_proxy,humidity_temp_interaction,wind_pressure_interaction,hour_sin,hour_cos,month_sin,month_cos,minute_sin,minute_cos,occupancy_proxy,heating_degree_gap,cooling_degree_gap,heating_load_proxy,cooling_load_proxy,thermal_inertia_proxy,comfort_gap,thermal_load_wh,Actual_Energy_Wh,Predicted_Energy_Wh,Absolute_Error,Error_Category,Thermal_Load_Wh,Comfort_Gap,Power_kW,Distance_km_per_hr,TA_ESI,Selected_Action,IoT_Actions
0.0,7.2,1024,91,1.9,0.0,0.0,99,0,0,975,0.0,4,22,5,45,0.0,1,0.0,0.0,655.2,1945.6,-0.5000000000000004,0.8660254037844384,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,1.0,13.8,0.0,13.8,0.0,8.28,13.8,1987.2,0,2.711360827541246,2.711360827541246,Zero-Actual / Undefined % Error,1987.2,13.8,0.010845443310164985,2.1690886620329968,0.0013625535687434454,HVAC Moderation,Adjust HVAC setpoint; Reduce cooling or heating intensity
0.0,6.1,1024,93,2.0,0.0,0.0,10,0,0,975,0.0,1,23,5,0,0.0,1,0.0,0.0,567.3,2048.0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.6,14.9,0.0,8.94,0.0,8.28,14.9,1404.0,0,0.4242059238088643,0.4242059238088643,Zero-Actual / Undefined % Error,1404.0,14.9,0.0016968236952354572,0.3393647390470914,0.00030204970956604837,HVAC Moderation,Adjust HVAC setpoint; Reduce cooling or heating intensity
0.0,6.1,1024,93,2.0,0.0,0.0,10,0,0,975,0.0,1,23,5,15,0.0,1,0.0,0.0,567.3,2048.0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,-0.8660254037844387,1.0,2.83276944882399e-16,0.6,14.9,0.0,8.94,0.0,5.364,14.9,1287.36,0,0.08769272604210541,0.08769272604210541,Zero-Actual / Undefined % Error,1287.36,14.9,0.00035077090416842164,0.07015418083368433,6.811362237817304e-05,HVAC Moderation,Adjust HVAC setpoint; Reduce cooling or heating intensity
0.0,6.1,1024,93,2.0,0.0,0.0,10,0,0,975,0.0,1,23,5,30,0.0,1,0.0,0.0,567.3,2048.0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,-0.8660254037844387,5.66553889764798e-16,-1.0,0.6,14.9,0.0,8.94,0.0,5.364,14.9,1287.36,0,0.22286613862828503,0.22286613862828503,Zero-Actual / Undefined % Error,1287.36,14.9,0.0008914645545131401,0.17829291090262803,0.00017308877301509639,HVAC Moderation,Adjust HVAC setpoint; Reduce cooling or heating intensity
0.0,6.1,1024,93,2.0,0.0,0.0,10,0,0,975,0.0,1,23,5,45,0.0,1,0.0,0.0,567.3,2048.0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,0.6,14.9,0.0,8.94,0.0,5.364,14.9,1287.36,0,-0.052858545455351465,0.052858545455351465,Zero-Actual / Undefined % Error,1287.36,14.9,-0.00021143418182140587,-0.04228683636428117,-4.106133160619663e-05,HVAC Moderation,Adjust HVAC setpoint; Reduce cooling or heating intensity
0.0,5.2,1024,93,2.2,0.0,0.0,5,0,0,975,0.0,1,0,5,0,0.0,1,0.0,0.0,483.6,2252.8,0.0,1.0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.6,15.8,0.0,9.48,0.0,5.364,15.8,1352.16,0,-0.24674342565578042,0.24674342565578042,Zero-Actual / Undefined % Error,1352.16,15.8,-0.0009869737026231217,-0.19739474052462433,-0.00018251424362721104,HVAC Moderation,Adjust HVAC setpoint; Reduce cooling or heating intensity
0.0,5.2,1024,93,2.2,0.0,0.0,5,0,0,975,0.0,1,0,5,15,0.0,1,0.0,0.0,483.6,2252.8,0.0,1.0,0.49999999999999994,-0.8660254037844387,1.0,2.83276944882399e-16,0.6,15.8,0.0,9.48,0.0,5.688,15.8,1365.1200000000001,0,0.5113968168008945,0.5113968168008945,Zero-Actual / Undefined % Error,1365.1200000000001,15.8,0.002045587267203578,0.40911745344071565,0.0003744764638675203,HVAC Moderation,Adjust HVAC setpoint; Reduce cooling or heating intensity
0.0,5.2,1024,93,2.2,0.0,0.0,5,0,0,975,0.0,1,0,5,30,0.0,1,0.0,0.0,483.6,2252.8,0.0,1.0,0.49999999999999994,-0.8660254037844387,5.66553889764798e-16,-1.0,0.6,15.8,0.0,9.48,0.0,5.688,15.8,1365.1200000000001,0,0.991203957008515,0.991203957008515,Zero-Actual / Undefined % Error,1365.1200000000001,15.8,0.003964815828034061,0.792963165606812,0.0007255660837945532,HVAC Moderation,Adjust HVAC setpoint; Reduce cooling or heating intensity
0.0,5.2,1024,93,2.2,0.0,0.0,5,0,0,975,0.0,1,0,5,45,0.0,1,0.0,0.0,483.6,2252.8,0.0,1.0,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,0.6,15.8,0.0,9.48,0.0,5.688,15.8,1365.1200000000001,0,0.8346287125849435,0.8346287125849435,Zero-Actual / Undefined % Error,1365.1200000000001,15.8,0.003338514850339774,0.6677029700679549,0.0006110222802645798,HVAC Moderation,Adjust HVAC setpoint; Reduce cooling or heating intensity
0.0,3.9,1025,94,2.1,0.0,0.0,16,0,0,975,0.0,2,1,5,0,0.0,1,0.0,0.0,366.59999999999997,2152.5,0.25881904510252074,0.9659258262890683,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.6,17.1,0.0,10.26,0.0,5.688,17.1,1458.72,0,1.0100594841979054,1.0100594841979054,Zero-Actual / Undefined % Error,1458.72,17.1,0.004040237936791621,0.8080475873583243,0.000691949499116888,HVAC Moderation,Adjust HVAC setpoint; Reduce cooling or heating intensity
