Feature,Correlation,AbsCorrelation
GHI,0.9146192778569002,0.9146192778569002
ghi_temp_interaction,0.7913357224696075,0.7913357224696075
clear_sky_proxy,0.7349721193891618,0.7349721193891618
hour_cos,-0.5688266342701604,0.5688266342701604
humidity,-0.5444066129159062,0.5444066129159062
isSun,0.5269519259214719,0.5269519259214719
night_indicator,-0.5269519259214717,0.5269519259214717
sunlightTime,0.43729570784836924,0.43729570784836924
sunlight_ratio_safe,0.4025468376948577,0.4025468376948577
SunlightTime/daylength,0.40252333886572256,0.40252333886572256
temp,0.3785539417475625,0.3785539417475625
heating_degree_gap,-0.3581455618788585,0.3581455618788585
comfort_gap,-0.34386906852620425,0.34386906852620425
occupancy_proxy,0.3277125378272776,0.3277125378272776
dayLength,0.2806946940359689,0.2806946940359689
month_cos,-0.2796160750629486,0.2796160750629486
heating_load_proxy,-0.26403656863959324,0.26403656863959324
hour_sin,0.24162513543792333,0.24162513543792333
thermal_load_wh,-0.24154075379096474,0.24154075379096474
thermal_inertia_proxy,-0.23820624044511665,0.23820624044511665
humidity_temp_interaction,0.21022661341957571,0.21022661341957571
cooling_load_proxy,0.2095459345198047,0.2095459345198047
cooling_degree_gap,0.20953678127250727,0.20953678127250727
clouds_all,-0.19024085300512894,0.19024085300512894
weather_type,-0.17004626981423657,0.17004626981423657
pressure,0.11521943738970879,0.11521943738970879
hour,-0.08087687248311677,0.08087687248311677
rain_1h,-0.05988122748850422,0.05988122748850422
snow_1h,-0.0509135977304,0.0509135977304
month,-0.04930743711586763,0.04930743711586763
wind_pressure_interaction,0.0327750825391903,0.0327750825391903
wind_speed,0.029384660477361105,0.029384660477361105
minute,-0.0012752657846862518,0.0012752657846862518
minute_sin,0.001180727509546398,0.001180727509546398
minute_cos,0.0007523206746591991,0.0007523206746591991
month_sin,-0.0001925574076469794,0.0001925574076469794
